name,ticker,year,mechanism,mechanism_label,peak_value_at_risk_usd_bn,drawdown_pct,primary_failure_skill
Terra/LUNA-UST,LUNA,2022,A,Algo-stable spiral,45.0,99.99,S6 absorbing barrier
Iron Finance,TITAN,2021,A,Algo-stable spiral,2.0,100.0,S6 absorbing barrier
Basis Cash,BAC,2021,A,Algo-stable spiral,0.2,99.0,S6 absorbing barrier
Empty Set Dollar,ESD,2020,A,Algo-stable spiral,0.5,99.9,S6 absorbing barrier
OlympusDAO,OHM,2021,B,"(3,3) / rebase",4.0,99.0,"S4 (3,3) fragility"
Wonderland,TIME,2022,B,"(3,3) / rebase",1.5,99.9,"S4 (3,3) fragility"
Klima DAO,KLIMA,2021,B,"(3,3) / rebase",0.6,99.9,"S4 (3,3) fragility"
Axie Infinity,AXS/SLP,2021,C,GameFi inflation,10.0,99.5,S3 uncapped faucet
STEPN,GMT/GST,2022,C,GameFi inflation,3.0,99.9,S3 uncapped faucet
DeFi Kingdoms,JEWEL,2021,C,GameFi inflation,1.0,99.8,S3 uncapped faucet
Gala Games,GALA,2021,C,GameFi inflation,5.0,98.0,S3 uncapped faucet
The Sandbox,SAND,2021,H,High-FDV unlock,8.0,97.0,S7 high-FDV unlock
Decentraland,MANA,2021,H,High-FDV unlock,5.0,95.0,S7 high-FDV unlock
OneCoin,-,2016,D,Ponzi / HYIP,4.3,100.0,S9 narrative-only
BitConnect,BCC,2017,D,Ponzi / HYIP,3.5,99.9,S9 narrative-only
PlusToken,-,2019,D,Ponzi / HYIP,3.0,100.0,S9 narrative-only
WoToken,-,2019,D,Ponzi / HYIP,1.0,100.0,S9 narrative-only
Forsage,-,2020,D,Ponzi / HYIP,0.34,100.0,S9 narrative-only
FTX,FTT,2022,E,CeFi / exchange,9.0,98.0,S5 bank run + S1
Celsius,CEL,2022,E,CeFi / exchange,4.7,99.0,S5 bank run
Voyager,VGX,2022,E,CeFi / exchange,1.0,99.0,S5 bank run
Serum,SRM,2022,E,CeFi / exchange,1.5,99.8,S10 contagion
EOS,EOS,2018,F,ICO vapor / fraud,15.0,98.0,S7 high-FDV unlock
Centra Tech,CTR,2017,F,ICO vapor / fraud,0.1,100.0,S9 narrative-only
Bancor,BNT,2017,F,ICO vapor / fraud,1.0,98.0,S7 high-FDV unlock
Squid Game,SQUID,2021,G,Celeb / meme / rug,0.005,100.0,S9 narrative-only
SafeMoon,SFM,2021,G,Celeb / meme / rug,6.0,99.9,S9 narrative-only
HEX,HEX,2019,G,Celeb / meme / rug,5.0,99.0,S2 subsidized demand
LIBRA (Milei),LIBRA,2025,G,Celeb / meme / rug,4.5,98.5,S9 narrative-only
TRUMP,TRUMP,2025,G,Celeb / meme / rug,15.0,99.0,S9 narrative-only
MELANIA,MELANIA,2025,G,Celeb / meme / rug,2.0,99.0,S9 narrative-only
HAWK,HAWK,2024,G,Celeb / meme / rug,0.49,95.0,S9 narrative-only
Internet Computer,ICP,2021,H,High-FDV unlock,45.0,99.0,S7 high-FDV unlock
Filecoin,FIL,2021,H,High-FDV unlock,9.0,99.0,S7 high-FDV unlock
ApeCoin,APE,2022,H,High-FDV unlock,4.0,98.0,S7 high-FDV unlock
Worldcoin,WLD,2023,H,High-FDV unlock,2.5,90.0,S7 high-FDV unlock
Anchor Protocol,ANC,2022,B,"(3,3) / rebase",1.0,99.0,S2 subsidized demand
Mirror Protocol,MIR,2022,A,Algo-stable spiral,0.5,99.0,S10 contagion
