name,stress_year,outcome,S1_reflexive_collateral,S2_subsidized_demand,S3_uncapped_faucet,S4_inflation_premium,S5_fcfs_redemption,S6_algo_stable,S7_float_fdv,S8_velocity_leak,S9_narrative_only,S10_contagion,S11_mercenary_tvl,S12_leverage_loops,weighted_total_54,engine_flags,structure_flags,note
Terra/LUNA-UST,2022,collapsed,2,2,0,1,2,2,0,0,1,2,1,2,37,4,1,4 engines at once: reflexive collateral + Anchor subsidy + run vector + absorbing barrier
Iron Finance,2021,collapsed,2,1,0,1,2,2,0,0,1,0,0,0,26,3,0,partial-algo stable; TITAN mint on de-peg; first large DeFi bank run
Basis Cash,2021,collapsed,2,0,0,1,1,2,0,1,1,0,0,0,21,2,0,seigniorage clone; peg never re-established
OlympusDAO,2021,collapsed,1,2,1,2,1,0,0,1,1,0,0,1,24,1,1,"(3,3) premium unravels to backing; APY from mint + new bonds"
Wonderland,2022,collapsed,1,2,1,2,1,0,0,1,1,1,0,0,23,1,1,largest OHM fork + treasury-trust collapse (Sifu)
Axie SLP,2021,collapsed,0,2,2,0,0,0,1,2,1,0,1,0,19,1,1,uncapped faucet; sink (breeding) needs new players; scholar guilds = rented labor
STEPN GST,2022,collapsed,0,2,2,0,0,0,1,2,1,0,1,0,19,1,1,"isomorphic to SLP: emission uncapped, sink needs new shoe buyers"
FTX FTT,2022,collapsed,2,0,0,0,2,0,1,0,1,2,0,1,21,2,0,self-printed collateral at an affiliate + classic run
Celsius,2022,collapsed,1,2,0,0,2,0,0,1,1,2,0,2,25,2,1,subsidized yield + FCFS promise + levered stETH loops
Internet Computer,2021,collapsed,0,0,1,1,0,0,2,1,1,0,0,0,12,0,1,"no engine - pure S7 structure: supply glut bleed, weak zero-price anchor"
MakerDAO DAI,2023,survived,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"exogenous collateral; MKR mint is a backstop, not the peg mechanism"
USDC,2023,survived,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,"SVB de-peg to ~$0.88 mean-reverted: claims on real, recoverable assets"
Lido stETH,2022,survived,0,0,0,0,0,0,0,1,0,1,0,2,6,0,1,structure flag (loops) but hard 1:1 anchor; no redemption promise = nothing to run
BNB,2022,survived,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,cash-flow anchor (fees/gas) + usage-linked burn; partial S1 remains
Ethereum ETH,2022,survived,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,zero-price-test archetype; EIP-1559 sink proportional to usage
GMX,2022,survived,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,real yield in ETH from trading fees; payer exists at any token price
Uniswap UNI,2022,survived,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,"S8 control: zero value capture yet no spiral - no engine, lambda<1"
Curve CRV,2023,survived,0,1,1,0,0,0,1,0,0,2,0,1,11,0,0,stressed survivor: founder leverage near-cascade; real-usage anchor held
